"Company Name","Key ID","Address Line 1","City","Phone","URL","Revenue (As Reported)","Employees","techMark Membership","Year Founded","Ultimate Parent Company","Ultimate Parent Country","ANZSIC 2006 Description","Address Type","Cash Equivalents (As Reported)","Assets (USD)","Cash Equivalents (USD)","Corporate Family Members","Fiscal Year End","Parent Company","Ownership Type","Profit Margin","Revenue (USD)","Sales 1 Year Growth (As Reported)"
"Al Jaber Precision Engineering Establishment","124579463","","Abu Dhabi","971-25020602","http://www.ajeprecision.com","","600","","","Al Jaber Group LLC","United Arab Emirates","Other Fabricated Metal Product Manufacturing Not Elsewhere Classified","","","","","34","","Al Jaber Group LLC","Private","","",""
"Reach Contracting & General Maintenance","122044224","Po Box 54867","Abu Dhabi","26765722","","","600","","","","","Building and Other Industrial Cleaning Services","","","","","0","","","Private","","",""
"Zener Electrical & Electronics Services L.L.C.","121851736","Po Box 3905","Abu Dhabi","25585285","","","600","","","","","Electrical Services","","","","","0","","","Private","","",""
"Bam International Abu Dhabi - Llc","123158206","Po Box 47100","Abu Dhabi","26444100","","","600","","","ADCECO Group","United Arab Emirates","Other Residential Building Construction","","","","","10","","ADCECO Group","Private","","",""
"United Printing & Publishing","133363578","Po Box 39955","Abu Dhabi","25039999","","","595","","","","","Book Publishing","","","","","0","","","Private","","",""
"Petrofac-Gs Joint Venture","122940144","Po Box 9398","Abu Dhabi","28104289","","","580","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"Gulf Marine Services PLC","111192644","Mussafah Base","Abu Dhabi","971-2-5028888","http://www.gmsuae.com/","196554000","573","","2014","","","Water Freight Transport","","","729681030","","0","2014-12-31T05:00:00Z","","Public","38.1905","196554000","6669799.8"
"Abu Dhabi Pipe Factory - L L C","123730648","Po Box 4526","Abu Dhabi","25821600","","","550","","","","","Other Fabricated Metal Product Manufacturing Not Elsewhere Classified","","","","","0","","","Private","","",""
"Astraco Construction - L L C","121881517","Po Box 46370","Abu Dhabi","26343433","","","550","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Central Bank of The United Arab Emirates","42385828","P.O.Box 854","Abu Dhabi","971-2-6652220","http://www.centralbank.ae","2735000000","530","","1973","","","Central Banking","","","83244719000","","0","2013-12-31T05:00:00Z","","Private","544.4724","744623960","-34647598"
"Arkan Building Materials Company PJSC","95896176","PO Box 40307","Abu Dhabi","971-2-6666724","http://www.arkan.ae/","751797000","527","","2006","Higher Corporation for Specialized Econ.","United Arab Emirates","Cement and Lime Manufacturing","","","1006660600","","9","2014-12-31T05:00:00Z","Senaat Co","Public","10.6429","204679500","94088799"
"Al Reyami Steel Industries","123109593","Po Box 45873","Abu Dhabi","25512588","","","525","","","","","Other Machinery and Equipment Manufacturing Not Elsewhere Classified","","","","","0","","","Private","","",""
"National Media Council","120029874","P.O. Box 3790","Abu Dhabi","24044333","http://www.abudhabi.ae","","501","","","","","Nonclassifiable Establishments","","","","","0","","","State-Owned","","",""
"Thomas Cook Al Rostamani Company L L C","121882691","Po Box 261","Abu Dhabi","26727500","","","500","","","","","Travel Agency and Tour Arrangement Services","","","","","0","","","Private","","",""
"Euro Mechanical & Electrical Contractors Ltd.","42385876","PO Box 46153","Abu Dhabi","971-26781133","http://www.euromechanical.com","","500","","1976","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Abu Dhabi National Foodstuff Company - W L L","123114707","Po Box 2378","Abu Dhabi","26731000","","","500","","","","","Other Grocery Wholesaling","","","","","0","","","Private","","",""
"Al Otaiba and Garg Contracting Company Ltd.","48609190","PO Box 43089","Abu Dhabi","971-02 6274936","","274600010","500","","","","","Engineering Design and Engineering Consulting Services","","","","","0","2011-12-31T05:00:00Z","","Private","","274600010",""
"Engineering Maintenance Company-Emco","133363591","Po Box 3532","Abu Dhabi","26340445","","","500","","","","","Other Machinery and Equipment Repair and Maintenance","","","","","0","","","Partnership","","",""
"Voltas Ltd","122882504","Po Box 25513","Abu Dhabi","24457882","","","500","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Maf Hypermarkets Llc - Abu Dhabi Branch","122044202","Po Box 4933","Abu Dhabi","26817100","","","500","","","Majid Al Futtaim Hypermarkets","","Supermarket and Grocery Stores","","","","","2","","","Private","","",""
"Al Mariah United Co.","42385971","PO Box 206, Hamdan St.","Abu Dhabi","971-02 6771741","http://www.almariah.com","144000000","500","","1970","","","Electrical Services","","","","","0","2011-12-31T05:00:00Z","","Private","","144000000",""
"Compass Camea Fze","122044427","P O Box 46806","Abu Dhabi","24494769","","","500","","","Compass Group plc","United Kingdom","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","1025","","Compass Group plc","Private","","",""
"Future Pipes Industrial Company - W L L","122781994","Po Box 29205","Abu Dhabi","26270008","","","500","","","","","Glass and Glass Product Manufacturing","","","","","0","","","Private","","",""
"Control Contracting & Trading Company Pvt Ltd","122882371","Po Box 46089","Abu Dhabi","25548000","","45262299","500","","","","","Non-Residential Building Construction","","","","","0","2004-12-31T05:00:00Z","","Private","","12323033",""
"Abu Dhabi Oilfield Services Establishment","42385741","PO Box 4015","Abu Dhabi","971-2 6344441","http://www.adosuae.com","1783000000","500","","1972","","","Other Mining Support Services","","","","","0","2011-12-31T05:00:00Z","","Private","","1783000000",""
"Industrial Development Company Llc (Al Tanmiya Industrial C","122895540","Po Box 37388","Abu Dhabi","25500785","","","500","","","","","Sheet Metal Product Manufacturing (except Metal Structural and Container Products)","","","","","0","","","Private","","",""
"International Turnkey Systems L.L.C. - Dubai","42386977","PO Box 7087","Abu Dhabi","971-04 3972220","http://www.its.ws","236899990","500","","","International Turnkey Systems Group KSCC","Kuwait","Computer System Design and Related Services","","","","","5","2011-12-31T05:00:00Z","International Turnkey Systems Group KSCC","Private","","236899990",""
"Arabian Castles General Contracting & Maintenance Establishment","123229939","Po Box 3930","Abu Dhabi","26214678","","","500","","","","","Other Construction Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Supervision Committee For Expansion Of The Abu Dhabi International Airport","121851670","Po Box 38811","Abu Dhabi","25095000","","","500","","","","","Airport Operations and Other Air Transport Support Services","","","","","0","","","Private","","",""
"Al Tafseer Contracting & General Maintenance Company - W L L","122895550","Po Box 47804","Abu Dhabi","26419805","","","500","","","","","Residential Building Construction","","","","","0","","","Private","","",""
"Schlumberger Middle East S.A.","96352922","PO Box 21","Abu Dhabi","971-02 6333600","http://www.slb.com","1327100000","500","","","Schlumberger N.V.","Netherlands Antilles","Other Mining Support Services","","","","","687","2010-12-31T05:00:00Z","Schlumberger Limited.","Private","","1327100000",""
"Dorsch Consult Abu Dhabi","125631532","Salam Street","Abu Dhabi","971-26721923","http://www.dorsch.com","","500","","","Dorsch Beteiligungsgesellschaft mbH","Germany","Engineering Design and Engineering Consulting Services","","","","","18","","Dorsch Holding GmbH","Private","","",""
"Al Masaood Oil Industry Supplies & Services Co.","42385979","","Abu Dhabi","971-26267666","http://www.almasaoodoiss.com","","500","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Mabani","42386050","PO Box 692","Abu Dhabi","971-02 6775949","http://www.mabani.org","277899990","500","","1976","","","Engineering Design and Engineering Consulting Services","","","","","0","2011-12-31T05:00:00Z","","Private","","277899990",""
"Emirates Motor Co.","92028287","","Abu Dhabi","971-2-444-000","http://www.emc.mercedes-benz.com","1164400000","500","","1962","Al Fahim","United Arab Emirates","Motor Vehicle and Motor Vehicle Parts Wholesaling","","","","","8","2011-12-31T05:00:00Z","Al Fahim","Private","","1164400000",""
"Target Engineering Construction Company - L L C","123730290","National Bank Of Umm Al Quwain Building Hamdan Road","Abu Dhabi","26714700","http://www.target.ae","","500","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Al Madina Group Of Establishments","123167911","Po Box 4148","Abu Dhabi","26795999","","","500","","","","","Cafes, Restaurants and Takeaway Food Services","","","","","0","","","Private","","",""
"Al Ain Dairy","48584155","Al Ain Dairy Farm Building","Abu Dhabi","971-3-7832111","http://www.alaindairyuae.com/","1425200000","500","","1981","","","Milk and Cream Processing","","","","","0","2010-12-31T05:00:00Z","","Private","","1425200000",""
"Future Pipes Industrial Company - W L L","122783147","Po Box 29205","Abu Dhabi","26270008","","","500","","","","","Textile Finishing and Other Textile Product Manufacturing","","","","","0","","","Private","","",""
"Injazat Data Systems","95677002","Mohamed Bin Zayed City,  8230, Z-23","Abu Dhabi","971-2-6992700","http://www.injazat.com/","253800000","500","","2005","The Offset Program Bureau","United Arab Emirates","Computer System Design and Related Services","","","","","21","2011-12-31T05:00:00Z","Mubadala Development Company PJSC","Private","","253800000",""
"Al Bawardi Computer Est","123109133","Po Box 4118","Abu Dhabi","6346999","","","500","","","International Aeradio (Emirates) W L L","","Computer and Computer Peripheral Wholesaling","","","","","3","","International Aeradio (Emirates) W L L","Private","","",""
"Orient Contracting Company WLL","42386035","PO Box 348","Abu Dhabi","971-02 6276761","http://www.adcecogroup.com","200399990","500","","1967","ADCECO Group","United Arab Emirates","Other Heavy and Civil Engineering Construction","","","","","10","2011-12-31T05:00:00Z","ADCECO Group","Private","","200399990",""
"International Turnkey Systems L.L.C.","42385941","PO Box 7087","Abu Dhabi","971-02 6726111","http://www.its.ws","237200000","500","","1981","International Turnkey Systems Group KSCC","Kuwait","Computer System Design and Related Services","","","","","5","2010-12-31T05:00:00Z","International Turnkey Systems Group KSCC","Private","","237200000",""
"Neopharma LLC","92509504","Neopharma Building","Abu Dhabi","971-2-5501000","http://www.neopharma.ae/","","500","","","NMC Group","United Arab Emirates","Human Pharmaceutical and Medicinal Product Manufacturing","","","","","22","","NMC Group","Private","","",""
"Al Jazira Sports And Cultural Club","123228873","Po Box 2750","Abu Dhabi","4454455","","","500","","","","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Support Services & Catering Company L.L.C","121840536","Khalefa Hareb Al Khalili Building Um Al Nar ,Corniche Street","Abu Dhabi","25585274","","","450","","","","","Cafes, Restaurants and Takeaway Food Services","","","","","0","","","Partnership","","",""
"Foresight Heavy Machinery Equipments Trading - L L C","122189654","Po Box 128288","Abu Dhabi","25508088","","","450","","","","","Other Hardware Goods Wholesaling","","","","","0","","","Private","","",""
"Hi Tech Concrete Products L.L.C.","122048038","Po Box 5151","Abu Dhabi","25501220","http://www.hitechad.ae","","450","","","","","Cement and Lime Manufacturing","","","","","0","","","Private","","",""
"Abu Dhabi Coating Enterprises L.L.C.","48609236","PO Box 2603","Abu Dhabi","971-02 5559136","http://www.imcc.ae","162600010","450","","1978","ADCECO Group","United Arab Emirates","Metal Coating and Finishing","","","","","10","2011-12-31T05:00:00Z","ADCECO Group","Private","","162600010",""
"Intergulf General Contracting - L L C","122189620","Po Box 514","Abu Dhabi","26274180","","","440","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Global Process Systems Llc","123230005","Po Box 107176","Abu Dhabi","25822233","","","440","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Le Royal Meridien - Abu Dhabi","120029908","Po Box 45505","Abu Dhabi","26742020","http://www.leroyalmeridien-abudhabi.com","","435","","","","","Accommodation","","","","","0","","","Private","","",""
"Trans Gulf Ready Mix Concrete - L L C","122485705","Po Box 9009","Abu Dhabi","25511777","","","430","","","","","Ready-Mixed Concrete Manufacturing","","","","","0","","","Private","","",""
"Time Electro & Contracting Company W L L","122048020","Po Box 70148","Abu Dhabi","26788621","","","430","","","","","Other Electrical and Electronic Goods Wholesaling","","","","","0","","","Private","","",""
"Abu Dhabi J & P - L L C","123158214","Po Box 2536","Abu Dhabi","6221533","","","421","","","United Eastern Group LLC","United Arab Emirates","Petroleum Exploration","","","","","4","","United Eastern Group LLC","Private","","",""
"Gulf Specialized Mechanical and Engineering Services Company L.L.C.","48284254","PO Box 8865","Abu Dhabi","971-02 5552855","http://www.imcc.ae","233399990","420","","1971","ADCECO Group","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","10","2011-12-31T05:00:00Z","International Management and Construction Corp.","Private","","233399990",""
"Lulu Centre - L L C","122145304","Po Box 4048","Abu Dhabi","24182000","","","414","","","","","Supermarket and Grocery Stores","","","","","0","","","Private","","",""
"MDS UAE Holdings","42385990","PO Box 7899","Abu Dhabi","971 (2) 6276354","","864900020","400","","1981","","","Financial Asset Investing","","","","","2","2011-12-31T05:00:00Z","","Private","","864900020",""
"Booz And Company - Middle East","92460889","Adcb Building 8Th Floor Office 801 Salam Street","Abu Dhabi","26992400","http://www.booz.com","","400","","","PricewaterhouseCoopers International Ltd.","United Kingdom","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","468","","PwC Strategy& Inc.","Private","","",""
"Emirates Float Glass LLC","121419842","","Abu Dhabi","971-25994000","http://www.dubaiinvestments.com","","400","","","Investment Corporation of Dubai","United Arab Emirates","Glass and Glass Product Manufacturing","","","","","84","","Dubai Investment PJSC","Private","","",""
"Bin Hamoodah Trading and General Services","48609183","14th Floor, Bin Hamoodah Tower, Sheikh Khalifa Street","Abu Dhabi","971-2 6276600","http://www.bht.ae","115200000","400","","1967","Bin Hamoodah Company L.L.C.","United Arab Emirates","Electrical Services","","","","","9","2011-12-31T05:00:00Z","Bin Hamoodah Company L.L.C.","Private","","115200000",""
"Crowne Plaza Hotel Yas Island","123284568","Po Box 41880","Abu Dhabi","26563000","","","400","","","","","Accommodation","","","","","0","","","Private","","",""
"Al Mutawa Marine Work L L .C","136878285","Po Box 46100","Abu Dhabi","25552800","","","400","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Al Reem General Trading & Representation Of Companies Establishment","123108846","Po Box 3984","Abu Dhabi","26722356","","","400","","","","","Building and Other Industrial Cleaning Services","","","","","0","","","Private","","",""
"Al Ghaith Oil-Field Supplies & Services Company Limited","123249959","Po Box 268","Abu Dhabi","25553422","","","400","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Alba Tech Construction & Development Llc","122044383","Po Box 52134","Abu Dhabi","26266654","","","400","","","","","Road and Bridge Construction","","","","","0","","","Private","","",""
"African & Eastern Company (Near East) L L C","121882649","Po Box 32520","Abu Dhabi","26771763","","39000000","400","","","","","Liquor and Tobacco Product Wholesaling","","","","","0","2008-06-30T04:00:00Z","","Private","","10620385",""
"Abu Dhabi Precast L L C","123262645","Po Box 38605","Abu Dhabi","25501033","","","400","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Abu Dhabi National Indust Projects Co","111192682","PO Box 25905","Abu Dhabi","971-2-5500577","http://www.adnip.com/","223000000","400","","1997","","","Medical and Surgical Equipment Manufacturing","","","","","5","2011-12-31T05:00:00Z","","Private","","223000000",""
"Cape East LLC","42385825","14 Al Mussafah","Abu Dhabi","971-02 5555199","http://www.capeplc.com/cape/pages/contactus/regionalcontacts/regionalgulf","222000000","400","","1979","Cape PLC","","Engineering Design and Engineering Consulting Services","","","","","71","2011-12-31T05:00:00Z","Cape Industrial Services Group Limited","Private","","222000000",""
"Al Ruwais Industrial Gases Company - L L C","42386059","Al Ruwais Industrial Gases Company Street 10 And 12; Mussafah In","Abu Dhabi","25553809","http://www.eigco.com","","400","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Gulf Air","42385904","Po Box 573","Abu Dhabi","26323741","http://www.gulfairco.com","","400","","","","","Air and Space Transport","","","","","0","","","Private","","",""
"Al Ghurair Iron & Steel - L L C","122895535","Po Box 106065","Abu Dhabi","26593400","http://www.agis.ae","","400","","","","","Iron Smelting and Steel Manufacturing","","","","","0","","","Private","","",""
"Asmak Seafood Processing Co. LLC","136809643","Delma Island Western region","Abu Dhabi","971-2-8782161","","","400","","","International Fish Farming Holding Co","United Arab Emirates","Seafood Processing","","","","","7","","International Fish Farming Holding Co","Private","","",""
"Enerflex Middle East Ltd. - Abu Dhabi","123278930","Po Box 48294","Abu Dhabi","24430015","","","400","","","","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","0","","","Private","","",""
"Ghobash Trading and Investment","100971512","PO Box 47233","Abu Dhabi","971-02 6447111","http://www.ghobash.com","3470500000","400","","1981","","","Financial Asset Broking Services","","","","","0","2011-12-31T05:00:00Z","","Private","","3470500000",""
"Al Fahad Smart Systems","123227527","Po Box 59519","Abu Dhabi","25565800","","","400","","","","","Electrical Services","","","","","0","","","Private","","",""
"National Technical Services Co. Llc","123278884","Po Box P O Box 32571","Abu Dhabi","","","","400","","","","","Management and Related Consulting Services","","","","","0","","","Partnership","","",""
"Gulf Diagnostic Centre Hospital - W L L","92461009","Po Box 30702","Abu Dhabi","26658090","http://www.gdc-hospital.com","","400","","","","","General Practice Medical Services","","","","","0","","","Private","","",""
"Bin Hamoodah Company L.L.C.","50095781","PO Box 203","Abu Dhabi","971-02 6276600","http://www.binhamoodah.ae","910599980","400","","1967","","","Management and Related Consulting Services","","","","","9","2011-12-31T05:00:00Z","","Private","","910599980",""
"Booz & Company (M E) Ltd - Abu Dhabi","123278935","Po Box 43754","Abu Dhabi","26992400","","","400","","","","","Management and Related Consulting Services","","","","","0","","","Private","","",""
"Al Firas General Contracting","123278878","Po Box 4490","Abu Dhabi","26669600","","150000000","400","","","","","Other Residential Building Construction","","","","","0","","","Private","","40837780",""
"Gulf Ready Mix","123098467","Po Box 8556","Abu Dhabi","25511117","","","400","","","","","Other Hardware Goods Wholesaling","","","","","0","","","Private","","",""
"United Arab Bank - Abu Dhabi","123114576","Po Box 3562","Abu Dhabi","6275000","","","396","","","United Arab Bank","United Arab Emirates","Banking","","","","","4","","United Arab Bank","Private","","",""
"Abu Dhabi Sheraton Hotel","123114574","Po Box 640","Abu Dhabi","26773333","","96000000","390","","","","","Accommodation","","","","","0","2014-12-31T05:00:00Z","","Private","","26136353",""
"Itm O&M Company Limited - Abu Dhabi","123249951","Po Box 46421","Abu Dhabi","25582700","","","386","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"Halliburton Worldwide Limited - Abu Dhabi","92511725","Po Box 57","Abu Dhabi","26942200","http://www.halliburton.com","","385","","","Halliburton Company","United States","Shipbuilding and Repair Services","","","","","284","","Halliburton Company","Private","","",""
"MERCURY INTERNATIONAL ELECTRO-MECHANICAL CONTRACTING LLC","122044450","Office 1204 Emirates National Investment Building Dalma Street","Abu Dhabi","971-2-4438300","","","385","","","Mercury Engineering Ltd.","Ireland","Engineering Design and Engineering Consulting Services","","","","","8","","Mercury Engineering Ltd.","Private","","",""
"Al Fahad Electrical Systems L.L.C.","122970704","Po Box 59519","Abu Dhabi","25565800","","","380","","","","","Electrical Services","","","","","0","","","Private","","",""
"White Aluminium Enterprises - L L C","122873526","Po Box 30665","Abu Dhabi","25500830","","","370","","","","","Furniture and Floor Covering Wholesaling","","","","","0","","","Private","","",""
"Al Mansoori Specialized Engineering Company - Llc","135836350","Po Box 3374","Abu Dhabi","26776335","","","368","","","","","Other Mining Support Services","","","","","3","","","Private","","",""
"Thales Advanced Solutions - L L C","122895667","Po Box 5254","Abu Dhabi","6421133","","","360","","","C4 Advanced Solutions LLC","United Arab Emirates","Other Electrical and Electronic Goods Wholesaling","","","","","2","","C4 Advanced Solutions LLC","Private","","",""
"Ruwais Fertiliser Industries FERTIL","42386058","PO Box 2288","Abu Dhabi","971-02 6021111","http://www.fertil.com","355200010","360","","","Abu Dhabi National Oil Company","United Arab Emirates","Fertiliser Manufacturing","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","355200010",""
"Al Fujairah Asia Power . Co- Psc-","122482850","Po Box 110865","Abu Dhabi","24918098","","","350","","","","","Electricity Supply","","","","","0","","","Private","","",""
"Australian Piling Technology Co. Llc","122044412","Al Najda Street","Abu Dhabi","6341127","","","350","","","","","Other Construction Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Emke Store","122922253","Po Box 4048","Abu Dhabi","26732131","","","350","","","","","Other Grocery Wholesaling","","","","","0","","","Private","","",""
"Al Gurg Building Services","123257601","Po Box 4938","Abu Dhabi","26721244","","","350","","","","","Other Electrical and Electronic Goods Wholesaling","","","","","0","","","Private","","",""
"Abu Dhabi Refreshmets Company - L L C","123262661","Po Box 996","Abu Dhabi","24447234","","","350","","","","","Soft Drink, Cordial and Syrup Manufacturing","","","","","0","","","Private","","",""
"Tecnimont S P A","121851696","Po Box 51120","Abu Dhabi","26450988","","","350","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Electromechanical Company - L L C","46490064","Po Box 732","Abu Dhabi","26262800","","","350","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Fibrex - Llc","122471366","Po Box 462","Abu Dhabi","25511462","","","350","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Ed Zublin Ag","121851689","Po Box 28708","Abu Dhabi","26344039","","","350","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Gulf Industrial Services Company","42385908","PO Box 46625","Abu Dhabi","971-2-4067888","http://www.gisco-uae.com/","45599998","350","","1978","Bin Hamoodah Company L.L.C.","United Arab Emirates","Other Mining Support Services","","","","","9","2009-12-31T05:00:00Z","Bin Hamoodah Company L.L.C.","Private","","45599998",""
"Saipem Abu Dhabi","123249947","Po Box 47117","Abu Dhabi","26989898","","","350","","","","","Other Hardware Goods Wholesaling","","","","","0","","","Private","","",""
"Weir Engineering Services Company Llc","92683084","Po Box 4752","Abu Dhabi","25554108","http://www.wescouae.com","74000000","350","","","","","Engineering Design and Engineering Consulting Services","","","","","0","2006-12-31T05:00:00Z","","Private","","20147383",""
"Le Meridien Hotel Abu Dhabi","42385986","Tourist Club Area","Abu Dhabi","971-02 6446666","http://www.lemeridien-abudhabi.com","779000000","350","","1979","Starwood Hotels & Resorts Worldwide Inc","United States","Accommodation","","","","","707","2010-12-31T05:00:00Z","Starwood Hotels & Resorts Worldwide Inc","Private","","779000000",""
"Emke Store","122787017","Po Box 4048","Abu Dhabi","6421800","","","","","","","","","","","","","","","","","","",""
"Al Jaber Shipping Agency & Marine Works","123119070","Mussafah Next to Mina Mussafah","Abu Dhabi","971-25554300","http://www.ajshipping.com","","350","","","Al Jaber Group LLC","United Arab Emirates","Other Transport Support Services Not Elsewhere Classified","","","","","34","","Al Jaber Group LLC","Private","","",""
"Mohammed Al Quebaisy  Enterprises L.L.C","122874203","Po Box 2333","Abu Dhabi","26423999","","","350","","","","","Metal and Mineral Wholesaling","","","","","0","","","Private","","",""
"Tebodin Middle East Ltd.","42386094","PO Box 2652","Abu Dhabi","971-02 4066000","http://www.tebodin.com","62092999","350","","","Bilfinger SE","Germany","Engineering Design and Engineering Consulting Services","","","","","379","","Bilfinger SE","Private","","62092999",""
"Hyder Consulting Middle East Ltd.","42385748","Po Box 2774","Abu Dhabi","971-02 6333400","","100000","341","","","","","Management and Related Consulting Services","","","","","0","2007-12-31T05:00:00Z","","Private","","100000",""
"Honeywell Middle East Company Limited Abu Dhabi","123730650","Po Box 45595","Abu Dhabi","44505800","","","340","","","Honeywell International Inc.","United States","Other Electrical and Electronic Goods Wholesaling","","","","","909","","Honeywell Middle East B.V.","Private","","",""
"Emirates Cement Factory","42385755","17th floor, Prestige Tower, Mohammed Bin Zayed City","Abu Dhabi","971-2-6666724","http://www.arkan.ae","352000000","340","","1976","Higher Corporation for Specialized Econ.","United Arab Emirates","Cement and Lime Manufacturing","","","","","9","2011-12-31T05:00:00Z","Arkan Building Materials Company PJSC","Private","","352000000",""
"Abu Dhabi Petroleum Ports Operating Company","42385743","","Abu Dhabi","971-26028000","http://www.irshad.ae","1205400000","338","","1979","Abu Dhabi National Oil Company","United Arab Emirates","Other Mining Support Services","","","","","25","2009-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","1205400000",""
"UTS Carrier L.L.C.","42386115","PO Box 3977","Abu Dhabi","971-02 6724243","http://www.carrieruae.com","156000000","330","","1983","Mechanical Equipment Company Inc.","United States","Other Electrical and Electronic Goods Wholesaling","","","","","6","2011-12-31T05:00:00Z","United Technical Services","Private","","156000000",""
"Al Mansouri Wireline Services Company - L L C","123249942","Po Box 3374","Abu Dhabi","25554134","","96129997","328","","","Al Mansoori Petroleum Services - Llc","","Other Electrical and Electronic Goods Wholesaling","","","","","2","","Al Mansoori Petroleum Services - Llc","Private","","26171572",""
"Foodco Holding PJSC","43871885","FOODCO Holding Building","Abu Dhabi","971-2-6731000","http://www.foodco-uae.com","151435590","326","","1979","Ali and Sons Company L.L.C.","United Arab Emirates","General Line Grocery Wholesaling","","138480","239249710","37701.382","6","2014-12-31T05:00:00Z","Ali and Sons Company L.L.C.","Public","28.0681","41228897","53885300"
"Gulf Star Commodities","123229958","Po Box 27608","Abu Dhabi","226420700","","","325","","","","","Clothing Manufacturing","","","","","0","","","Private","","",""
"Al Masaood Bergum W L L","123084619","Po Box 322","Abu Dhabi","26742100","","","320","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Jamal Al Nuaimi General Contracting Llc","122044266","Po Box 42158","Abu Dhabi","224459949","","128000000","320","","","","","Non-Residential Building Construction","","","","","0","2007-12-31T05:00:00Z","","Private","","34857185",""
"Adyard Abu Dhabi L.L.C.","42385967","PO Box 7604","Abu Dhabi","971-02 5547722","http://www.topazworld.com","","320","","1995","Tawoos LLC","Oman","Engineering Design and Engineering Consulting Services","","","","","16","","Topaz Energy and Marine Ltd","Private","","",""
"National Marine Services Co.","138909884","PO Box 7202","Abu Dhabi","971-02 6029500","","","320","","1978","","","Other Goods and Equipment Rental and Hiring Not Elsewhere Classified","","","","","0","","","Private","","",""
"Electra Abu Dhabi L.L.C.","51575146","PO Box 121","Abu Dhabi","971-02 6778077","http://www.electra.ae","37500000","312","","1965","Al Hamed Enterprises","United Arab Emirates","Other Electrical and Electronic Goods Wholesaling","","","","","15","2009-12-31T05:00:00Z","Al Hamed Enterprises","Private","","37500000",""
"Crowne Plaza Abudhabi","133363758","Po Box 3541","Abu Dhabi","22610000","","","310","","","","","Accommodation","","","","","0","","","Private","","",""
"C C C Under Water Eng.S.A.L Shj.Br.","122873889","Po Box 224","Abu Dhabi","25553656","","","310","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"Al Bawardi Group","42385806","PO Box 4118","Abu Dhabi","971-2 6815957","http://www.ae.ae","113600000","300","","1979","","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","8","2011-12-31T05:00:00Z","","Private","","113600000",""
"Dhafir Group of Cos.","42385853","PO Box 62192","Abu Dhabi","971-02 6774670","http://dhafirgroup.com","166500000","300","","1971","","","Engineering Design and Engineering Consulting Services","","","","","0","2011-12-31T05:00:00Z","","Private","","166500000",""
"Al Hasoun Sejong Electromechanical Establishment","122881338","Po Box 34974","Abu Dhabi","25500301","","","300","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Concorde Trading Company L.L.C.","42385835","PO Box 2617","Abu Dhabi","971-2 6668770","http://www.concordeuae.com","112000000","300","","1975","","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","0","2011-12-31T05:00:00Z","","Private","","112000000",""
"United Carrier Company - L L C","123227550","Po Box 3977","Abu Dhabi","26724243","","6290000","300","","","Mechanical Equipment Company Inc.","United States","Other Electrical and Electronic Goods Wholesaling","","","","","6","2009-12-31T05:00:00Z","United Technical Services","Private","","1712541.9",""
"Technical Supplies & Services Company - L L C","122882405","Po Box 410","Abu Dhabi","26447912","","65000000","300","","","","","Other Electrical and Electronic Goods Wholesaling","","","","","0","2008-12-31T05:00:00Z","","Private","","17697435",""
